# r-coordinate 	 ur 	 utheta
2.86415e+02 	 -1.17166e-03 	 -6.17014e-06
2.88215e+02 	 -1.14782e-03 	 -6.04448e-06
2.90026e+02 	 -1.12447e-03 	 -5.92202e-06
2.91848e+02 	 -1.10160e-03 	 -5.80267e-06
2.93682e+02 	 -1.07920e-03 	 -5.68633e-06
2.95527e+02 	 -1.05726e-03 	 -5.57291e-06
2.97384e+02 	 -1.03577e-03 	 -5.46233e-06
2.99252e+02 	 -1.01472e-03 	 -5.35451e-06
3.01133e+02 	 -9.94109e-04 	 -5.24937e-06
3.03025e+02 	 -9.73916e-04 	 -5.14682e-06
3.04929e+02 	 -9.54135e-04 	 -5.04680e-06
3.06845e+02 	 -9.34759e-04 	 -4.94923e-06
3.08773e+02 	 -9.15778e-04 	 -4.85405e-06
3.10713e+02 	 -8.97183e-04 	 -4.76117e-06
3.12665e+02 	 -8.78967e-04 	 -4.67055e-06
3.14630e+02 	 -8.61121e-04 	 -4.58211e-06
3.16606e+02 	 -8.43637e-04 	 -4.49579e-06
3.18596e+02 	 -8.26507e-04 	 -4.41153e-06
3.20598e+02 	 -8.09725e-04 	 -4.32928e-06
3.22612e+02 	 -7.93282e-04 	 -4.24898e-06
3.24639e+02 	 -7.77171e-04 	 -4.17056e-06
3.26679e+02 	 -7.61385e-04 	 -4.09399e-06
3.28731e+02 	 -7.45917e-04 	 -4.01921e-06
3.30797e+02 	 -7.30761e-04 	 -3.94616e-06
3.32875e+02 	 -7.15909e-04 	 -3.87481e-06
3.34967e+02 	 -7.01356e-04 	 -3.80510e-06
3.37071e+02 	 -6.87095e-04 	 -3.73698e-06
3.39189e+02 	 -6.73120e-04 	 -3.67042e-06
3.41320e+02 	 -6.59424e-04 	 -3.60537e-06
3.43465e+02 	 -6.46002e-04 	 -3.54179e-06
3.45623e+02 	 -6.32849e-04 	 -3.47963e-06
3.47795e+02 	 -6.19958e-04 	 -3.41887e-06
3.49980e+02 	 -6.07324e-04 	 -3.35946e-06
3.52179e+02 	 -5.94942e-04 	 -3.30136e-06
3.54392e+02 	 -5.82806e-04 	 -3.24454e-06
3.56618e+02 	 -5.70912e-04 	 -3.18896e-06
3.58859e+02 	 -5.59253e-04 	 -3.13459e-06
3.61114e+02 	 -5.47826e-04 	 -3.08140e-06
3.63383e+02 	 -5.36626e-04 	 -3.02936e-06
3.65666e+02 	 -5.25647e-04 	 -2.97842e-06
3.67964e+02 	 -5.14885e-04 	 -2.92857e-06
3.70276e+02 	 -5.04336e-04 	 -2.87978e-06
3.72602e+02 	 -4.93996e-04 	 -2.83201e-06
3.74943e+02 	 -4.83859e-04 	 -2.78524e-06
3.77299e+02 	 -4.73922e-04 	 -2.73944e-06
3.79670e+02 	 -4.64181e-04 	 -2.69458e-06
3.82055e+02 	 -4.54632e-04 	 -2.65065e-06
3.84456e+02 	 -4.45270e-04 	 -2.60761e-06
3.86871e+02 	 -4.36092e-04 	 -2.56544e-06
3.89302e+02 	 -4.27095e-04 	 -2.52411e-06
3.91748e+02 	 -4.18274e-04 	 -2.48361e-06
3.94210e+02 	 -4.09625e-04 	 -2.44392e-06
3.96687e+02 	 -4.01147e-04 	 -2.40500e-06
3.99179e+02 	 -3.92834e-04 	 -2.36685e-06
