# r-coordinate 	 ur 	 utheta
7.23749e+02 	 5.63788e-07 	 -2.70018e-07
7.28297e+02 	 5.22022e-07 	 -2.67400e-07
7.32873e+02 	 4.82672e-07 	 -2.64291e-07
7.37478e+02 	 4.45619e-07 	 -2.60705e-07
7.42111e+02 	 4.10748e-07 	 -2.56655e-07
7.46774e+02 	 3.77946e-07 	 -2.52155e-07
7.51466e+02 	 3.47105e-07 	 -2.47220e-07
7.56188e+02 	 3.18120e-07 	 -2.41866e-07
7.60939e+02 	 2.90890e-07 	 -2.36109e-07
7.65720e+02 	 2.65316e-07 	 -2.29966e-07
7.70531e+02 	 2.41302e-07 	 -2.23455e-07
7.75373e+02 	 2.18757e-07 	 -2.16593e-07
7.80245e+02 	 1.97591e-07 	 -2.09399e-07
7.85147e+02 	 1.77719e-07 	 -2.01892e-07
7.90080e+02 	 1.59057e-07 	 -1.94092e-07
7.95044e+02 	 1.41525e-07 	 -1.86019e-07
8.00040e+02 	 1.25046e-07 	 -1.77694e-07
8.05067e+02 	 1.09544e-07 	 -1.69138e-07
8.10125e+02 	 9.49471e-08 	 -1.60371e-07
8.15215e+02 	 8.11860e-08 	 -1.51416e-07
8.20337e+02 	 6.81934e-08 	 -1.42293e-07
8.25492e+02 	 5.59044e-08 	 -1.33026e-07
8.30678e+02 	 4.42566e-08 	 -1.23636e-07
8.35898e+02 	 3.31901e-08 	 -1.14145e-07
8.41150e+02 	 2.26469e-08 	 -1.04575e-07
8.46435e+02 	 1.25714e-08 	 -9.49476e-08
8.51753e+02 	 2.91005e-09 	 -8.52856e-08
8.57105e+02 	 -6.38847e-09 	 -7.56098e-08
8.62490e+02 	 -1.53736e-08 	 -6.59415e-08
8.67910e+02 	 -2.40928e-08 	 -5.63012e-08
8.73363e+02 	 -3.25915e-08 	 -4.67092e-08
8.78850e+02 	 -4.09133e-08 	 -3.71848e-08
8.84372e+02 	 -4.91000e-08 	 -2.77469e-08
8.89929e+02 	 -5.71915e-08 	 -1.84132e-08
8.95521e+02 	 -6.52261e-08 	 -9.20079e-09
9.01147e+02 	 -7.32402e-08 	 -1.25440e-10
9.06809e+02 	 -8.12686e-08 	 8.79815e-09
9.12507e+02 	 -8.93444e-08 	 1.75566e-08
9.18240e+02 	 -9.74991e-08 	 2.61378e-08
9.24010e+02 	 -1.05763e-07 	 3.45313e-08
9.29816e+02 	 -1.14163e-07 	 4.27282e-08
9.35658e+02 	 -1.22727e-07 	 5.07211e-08
9.41537e+02 	 -1.31480e-07 	 5.85048e-08
9.47453e+02 	 -1.40445e-07 	 6.60754e-08
9.53406e+02 	 -1.49645e-07 	 7.34315e-08
9.59396e+02 	 -1.59099e-07 	 8.05734e-08
9.65424e+02 	 -1.68826e-07 	 8.75035e-08
9.71490e+02 	 -1.78843e-07 	 9.42262e-08
9.77594e+02 	 -1.89167e-07 	 1.00748e-07
9.83736e+02 	 -1.99809e-07 	 1.07079e-07
9.89917e+02 	 -2.10784e-07 	 1.13228e-07
9.96137e+02 	 -2.22099e-07 	 1.19209e-07
1.00240e+03 	 -2.33765e-07 	 1.25037e-07
1.00869e+03 	 -2.45788e-07 	 1.30728e-07
