# r-coordinate 	 ur 	 utheta
3.30797e+02 	 3.55789e-04 	 1.50156e-07
3.32875e+02 	 3.47605e-04 	 1.50937e-07
3.34967e+02 	 3.39599e-04 	 1.51606e-07
3.37071e+02 	 3.31767e-04 	 1.52164e-07
3.39189e+02 	 3.24104e-04 	 1.52611e-07
3.41320e+02 	 3.16606e-04 	 1.52946e-07
3.43465e+02 	 3.09271e-04 	 1.53170e-07
3.45623e+02 	 3.02093e-04 	 1.53284e-07
3.47795e+02 	 2.95071e-04 	 1.53286e-07
3.49980e+02 	 2.88200e-04 	 1.53177e-07
3.52179e+02 	 2.81476e-04 	 1.52956e-07
3.54392e+02 	 2.74898e-04 	 1.52625e-07
3.56618e+02 	 2.68461e-04 	 1.52181e-07
3.58859e+02 	 2.62162e-04 	 1.51627e-07
3.61114e+02 	 2.55999e-04 	 1.50961e-07
3.63383e+02 	 2.49968e-04 	 1.50182e-07
3.65666e+02 	 2.44066e-04 	 1.49292e-07
3.67964e+02 	 2.38291e-04 	 1.48290e-07
3.70276e+02 	 2.32641e-04 	 1.47175e-07
3.72602e+02 	 2.27111e-04 	 1.45948e-07
3.74943e+02 	 2.21700e-04 	 1.44608e-07
3.77299e+02 	 2.16406e-04 	 1.43155e-07
3.79670e+02 	 2.11224e-04 	 1.41589e-07
3.82055e+02 	 2.06155e-04 	 1.39909e-07
3.84456e+02 	 2.01194e-04 	 1.38116e-07
3.86871e+02 	 1.96339e-04 	 1.36209e-07
3.89302e+02 	 1.91589e-04 	 1.34189e-07
3.91748e+02 	 1.86941e-04 	 1.32053e-07
3.94210e+02 	 1.82394e-04 	 1.29804e-07
3.96687e+02 	 1.77944e-04 	 1.27440e-07
3.99179e+02 	 1.73589e-04 	 1.24962e-07
4.01687e+02 	 1.69329e-04 	 1.22369e-07
4.04211e+02 	 1.65161e-04 	 1.19660e-07
4.06751e+02 	 1.61082e-04 	 1.16837e-07
4.09306e+02 	 1.57092e-04 	 1.13899e-07
4.11878e+02 	 1.53188e-04 	 1.10846e-07
4.14466e+02 	 1.49369e-04 	 1.07678e-07
4.17070e+02 	 1.45632e-04 	 1.04395e-07
4.19691e+02 	 1.41977e-04 	 1.00997e-07
4.22328e+02 	 1.38401e-04 	 9.74834e-08
4.24981e+02 	 1.34903e-04 	 9.38556e-08
4.27652e+02 	 1.31481e-04 	 9.01131e-08
4.30339e+02 	 1.28134e-04 	 8.62563e-08
4.33042e+02 	 1.24860e-04 	 8.22853e-08
4.35763e+02 	 1.21658e-04 	 7.82005e-08
4.38501e+02 	 1.18526e-04 	 7.40023e-08
4.41257e+02 	 1.15464e-04 	 6.96911e-08
4.44029e+02 	 1.12468e-04 	 6.52673e-08
4.46819e+02 	 1.09539e-04 	 6.07316e-08
4.49626e+02 	 1.06675e-04 	 5.60843e-08
4.52451e+02 	 1.03874e-04 	 5.13264e-08
4.55294e+02 	 1.01136e-04 	 4.64584e-08
4.58155e+02 	 9.84587e-05 	 4.14812e-08
4.61034e+02 	 9.58413e-05 	 3.63957e-08
4.63930e+02 	 9.32826e-05 	 3.12028e-08
4.66845e+02 	 9.07814e-05 	 2.59035e-08
4.69779e+02 	 8.83366e-05 	 2.04991e-08
4.72730e+02 	 8.59471e-05 	 1.49907e-08
4.75701e+02 	 8.36118e-05 	 9.37966e-09
4.78690e+02 	 8.13296e-05 	 3.66733e-09
4.81697e+02 	 7.90995e-05 	 -2.14475e-09
4.84724e+02 	 7.69205e-05 	 -8.05497e-09
4.87769e+02 	 7.47915e-05 	 -1.40616e-08
4.90834e+02 	 7.27116e-05 	 -2.01629e-08
4.93918e+02 	 7.06799e-05 	 -2.63568e-08
4.97022e+02 	 6.86953e-05 	 -3.26413e-08
5.00144e+02 	 6.67570e-05 	 -3.90142e-08
5.03287e+02 	 6.48641e-05 	 -4.54733e-08
5.06449e+02 	 6.30157e-05 	 -5.20160e-08
5.09631e+02 	 6.12108e-05 	 -5.86398e-08
5.12833e+02 	 5.94488e-05 	 -6.53421e-08
5.16056e+02 	 5.77286e-05 	 -7.21198e-08
5.19298e+02 	 5.60495e-05 	 -7.89702e-08
5.22561e+02 	 5.44108e-05 	 -8.58900e-08
5.25844e+02 	 5.28115e-05 	 -9.28759e-08
5.29148e+02 	 5.12510e-05 	 -9.99244e-08
5.32473e+02 	 4.97284e-05 	 -1.07032e-07
5.35819e+02 	 4.82431e-05 	 -1.14195e-07
5.39185e+02 	 4.67943e-05 	 -1.21409e-07
5.42573e+02 	 4.53812e-05 	 -1.28671e-07
5.45982e+02 	 4.40033e-05 	 -1.35975e-07
5.49413e+02 	 4.26597e-05 	 -1.43318e-07
5.52865e+02 	 4.13498e-05 	 -1.50694e-07
5.56339e+02 	 4.00729e-05 	 -1.58100e-07
5.59834e+02 	 3.88284e-05 	 -1.65529e-07
5.63352e+02 	 3.76157e-05 	 -1.72977e-07
5.66891e+02 	 3.64340e-05 	 -1.80439e-07
5.70453e+02 	 3.52829e-05 	 -1.87907e-07
5.74037e+02 	 3.41615e-05 	 -1.95378e-07
5.77644e+02 	 3.30695e-05 	 -2.02844e-07
5.81274e+02 	 3.20061e-05 	 -2.10300e-07
5.84926e+02 	 3.09708e-05 	 -2.17738e-07
5.88601e+02 	 2.99630e-05 	 -2.25153e-07
5.92299e+02 	 2.89822e-05 	 -2.32537e-07
5.96021e+02 	 2.80277e-05 	 -2.39883e-07
5.99766e+02 	 2.70992e-05 	 -2.47184e-07
6.03534e+02 	 2.61959e-05 	 -2.54432e-07
6.07326e+02 	 2.53174e-05 	 -2.61619e-07
6.11142e+02 	 2.44633e-05 	 -2.68737e-07
6.14982e+02 	 2.36329e-05 	 -2.75779e-07
6.18846e+02 	 2.28257e-05 	 -2.82734e-07
6.22735e+02 	 2.20413e-05 	 -2.89596e-07
6.26647e+02 	 2.12793e-05 	 -2.96353e-07
6.30585e+02 	 2.05390e-05 	 -3.02999e-07
6.34547e+02 	 1.98201e-05 	 -3.09522e-07
6.38534e+02 	 1.91220e-05 	 -3.15913e-07
6.42546e+02 	 1.84444e-05 	 -3.22162e-07
6.46583e+02 	 1.77868e-05 	 -3.28259e-07
6.50646e+02 	 1.71487e-05 	 -3.34193e-07
6.54734e+02 	 1.65297e-05 	 -3.39954e-07
6.58848e+02 	 1.59293e-05 	 -3.45532e-07
6.62987e+02 	 1.53473e-05 	 -3.50913e-07
6.67153e+02 	 1.47830e-05 	 -3.56089e-07
6.71345e+02 	 1.42362e-05 	 -3.61046e-07
6.75563e+02 	 1.37065e-05 	 -3.65773e-07
6.79808e+02 	 1.31933e-05 	 -3.70258e-07
6.84079e+02 	 1.26964e-05 	 -3.74489e-07
6.88377e+02 	 1.22154e-05 	 -3.78453e-07
6.92702e+02 	 1.17499e-05 	 -3.82138e-07
6.97055e+02 	 1.12995e-05 	 -3.85531e-07
7.01434e+02 	 1.08638e-05 	 -3.88619e-07
7.05842e+02 	 1.04425e-05 	 -3.91389e-07
7.10277e+02 	 1.00353e-05 	 -3.93828e-07
7.14739e+02 	 9.64179e-06 	 -3.95921e-07
7.19230e+02 	 9.26161e-06 	 -3.97657e-07
7.23749e+02 	 8.89444e-06 	 -3.99020e-07
7.28297e+02 	 8.53996e-06 	 -3.99998e-07
7.32873e+02 	 8.19784e-06 	 -4.00576e-07
7.37478e+02 	 7.86776e-06 	 -4.00740e-07
7.42111e+02 	 7.54941e-06 	 -4.00476e-07
7.46774e+02 	 7.24247e-06 	 -3.99771e-07
7.51466e+02 	 6.94664e-06 	 -3.98609e-07
7.56188e+02 	 6.66163e-06 	 -3.96978e-07
7.60939e+02 	 6.38713e-06 	 -3.94863e-07
7.65720e+02 	 6.12286e-06 	 -3.92249e-07
7.70531e+02 	 5.86854e-06 	 -3.89124e-07
7.75373e+02 	 5.62389e-06 	 -3.85472e-07
7.80245e+02 	 5.38863e-06 	 -3.81281e-07
7.85147e+02 	 5.16250e-06 	 -3.76536e-07
7.90080e+02 	 4.94523e-06 	 -3.71224e-07
7.95044e+02 	 4.73656e-06 	 -3.65332e-07
8.00040e+02 	 4.53624e-06 	 -3.58847e-07
8.05067e+02 	 4.34402e-06 	 -3.51755e-07
8.10125e+02 	 4.15965e-06 	 -3.44045e-07
8.15215e+02 	 3.98290e-06 	 -3.35704e-07
8.20337e+02 	 3.81354e-06 	 -3.26719e-07
