# r-coordinate 	 ur 	 utheta
1.31223e+03 	 -2.78098e-06 	 -2.43012e-06
1.32047e+03 	 -2.79282e-06 	 -2.42312e-06
1.32877e+03 	 -2.80479e-06 	 -2.41262e-06
1.33712e+03 	 -2.81682e-06 	 -2.39851e-06
1.34552e+03 	 -2.82879e-06 	 -2.38068e-06
1.35397e+03 	 -2.84065e-06 	 -2.35905e-06
1.36248e+03 	 -2.85229e-06 	 -2.33351e-06
1.37104e+03 	 -2.86365e-06 	 -2.30397e-06
1.37965e+03 	 -2.87464e-06 	 -2.27035e-06
1.38832e+03 	 -2.88520e-06 	 -2.23256e-06
1.39705e+03 	 -2.89526e-06 	 -2.19052e-06
1.40582e+03 	 -2.90473e-06 	 -2.14417e-06
1.41466e+03 	 -2.91355e-06 	 -2.09344e-06
1.42355e+03 	 -2.92166e-06 	 -2.03827e-06
1.43249e+03 	 -2.92897e-06 	 -1.97861e-06
1.44149e+03 	 -2.93542e-06 	 -1.91442e-06
1.45055e+03 	 -2.94093e-06 	 -1.84566e-06
1.45966e+03 	 -2.94543e-06 	 -1.77232e-06
1.46883e+03 	 -2.94886e-06 	 -1.69438e-06
1.47806e+03 	 -2.95112e-06 	 -1.61183e-06
1.48735e+03 	 -2.95214e-06 	 -1.52469e-06
1.49669e+03 	 -2.95185e-06 	 -1.43297e-06
1.50610e+03 	 -2.95016e-06 	 -1.33670e-06
1.51556e+03 	 -2.94698e-06 	 -1.23594e-06
1.52508e+03 	 -2.94223e-06 	 -1.13075e-06
1.53467e+03 	 -2.93582e-06 	 -1.02120e-06
1.54431e+03 	 -2.92765e-06 	 -9.07373e-07
1.55401e+03 	 -2.91764e-06 	 -7.89386e-07
1.56378e+03 	 -2.90567e-06 	 -6.67359e-07
1.57360e+03 	 -2.89166e-06 	 -5.41433e-07
1.58349e+03 	 -2.87550e-06 	 -4.11765e-07
1.59344e+03 	 -2.85710e-06 	 -2.78531e-07
1.60345e+03 	 -2.83633e-06 	 -1.41924e-07
1.61353e+03 	 -2.81311e-06 	 -2.15855e-09
1.62366e+03 	 -2.78732e-06 	 1.40534e-07
1.63387e+03 	 -2.75886e-06 	 2.85902e-07
1.64413e+03 	 -2.72763e-06 	 4.33676e-07
1.65446e+03 	 -2.69351e-06 	 5.83564e-07
1.66486e+03 	 -2.65641e-06 	 7.35257e-07
1.67532e+03 	 -2.61623e-06 	 8.88427e-07
1.68584e+03 	 -2.57287e-06 	 1.04273e-06
1.69644e+03 	 -2.52623e-06 	 1.19779e-06
1.70710e+03 	 -2.47625e-06 	 1.35323e-06
1.71782e+03 	 -2.42283e-06 	 1.50864e-06
1.72861e+03 	 -2.36590e-06 	 1.66361e-06
1.73948e+03 	 -2.30539e-06 	 1.81771e-06
1.75041e+03 	 -2.24127e-06 	 1.97048e-06
1.76140e+03 	 -2.17346e-06 	 2.12146e-06
1.77247e+03 	 -2.10196e-06 	 2.27017e-06
1.78361e+03 	 -2.02672e-06 	 2.41614e-06
1.79481e+03 	 -1.94776e-06 	 2.55886e-06
1.80609e+03 	 -1.86507e-06 	 2.69783e-06
1.81744e+03 	 -1.77868e-06 	 2.83254e-06
1.82886e+03 	 -1.68863e-06 	 2.96249e-06
1.84035e+03 	 -1.59498e-06 	 3.08715e-06
1.85191e+03 	 -1.49780e-06 	 3.20601e-06
1.86355e+03 	 -1.39719e-06 	 3.31857e-06
1.87526e+03 	 -1.29326e-06 	 3.42430e-06
1.88704e+03 	 -1.18614e-06 	 3.52271e-06
